File: 10037734.txt  Weight: 2.8861723552868354E-4 
File: 10068658.txt  Weight: 5.9042447487763913E-5 
File: 10068662.txt  Weight: 8.942553560405086E-4 
File: 10085096.txt  Weight: 0.00162334111787749 
File: 10092597.txt  Weight: 1.717808755010626E-4 
File: 10092619.txt  Weight: 0.0010130572963206717 
File: 10098495.txt  Weight: 3.4468863382056E-4 
File: 10196167.txt  Weight: 3.0261819185692986E-4 
File: 10198302.txt  Weight: 0.04104946905415677 
File: 10207009.txt  Weight: 6.070974433909258E-4 
File: 10218948.txt  Weight: 5.303458140296413E-4 
File: 10224039.txt  Weight: 0.0012701614363523274 
File: 10318786.txt  Weight: 5.009403814565307E-4 
File: 10329974.txt  Weight: 0.003425336743355497 
File: 10336441.txt  Weight: 9.140574019243504E-4 
File: 10342848.txt  Weight: 2.9449110110521857E-4 
File: 10369872.txt  Weight: 0.0022957977209662837 
File: 10372669.txt  Weight: 0.0054510960025632585 
File: 10375380.txt  Weight: 1.0857454118151355E-4 
File: 10381518.txt  Weight: 1.0488990097477142E-4 
File: 10433192.txt  Weight: 7.960458385125849E-4 
File: 10469843.txt  Weight: 0.0019214528456065604 
File: 10491396.txt  Weight: 0.0015316229792524659 
File: 10491421.txt  Weight: 1.169339899188197E-4 
File: 10501412.txt  Weight: 3.94551208293523E-4 
File: 10528813.txt  Weight: 4.1196903322029195E-4 
File: 10562597.txt  Weight: 2.6126809648319003E-4 
File: 10562601.txt  Weight: 3.794665229264432E-4 
File: 10564127.txt  Weight: 3.183810666183615E-5 
File: 10587540.txt  Weight: 3.9736780714563985E-4 
File: 10599693.txt  Weight: 0.02675185069774352 
File: 10606654.txt  Weight: 7.8131491355029E-5 
File: 10607739.txt  Weight: 4.4978923679656237E-4 
File: 10607841.txt  Weight: 0.0013670928230558137 
File: 10636908.txt  Weight: 3.5291746424908954E-4 
File: 10639496.txt  Weight: 0.0013710646013474674 
File: 10655540.txt  Weight: 0.003491451818556388 
File: 10655544.txt  Weight: 0.0012503267279267817 
File: 10662719.txt  Weight: 0.014862511910140016 
File: 10671534.txt  Weight: 0.0022352290180395547 
File: 10681537.txt  Weight: 0.00727896124132147 
File: 10681572.txt  Weight: 4.287303738526607E-4 
File: 10699173.txt  Weight: 3.666920044185807E-4 
File: 10706886.txt  Weight: 2.1681806546940642E-5 
File: 10713128.txt  Weight: 3.834225088743171E-4 
File: 10748133.txt  Weight: 3.501682688755171E-4 
File: 10748169.txt  Weight: 0.0012908195639968767 
File: 10749716.txt  Weight: 7.135611885146841E-4 
File: 10749877.txt  Weight: 0.0052027917733502025 
File: 10749888.txt  Weight: 1.2585918867263402E-4 
File: 10755053.txt  Weight: 0.010007077603207539 
File: 10762618.txt  Weight: 2.043006054597161E-4 
File: 10766872.txt  Weight: 5.127051282729376E-4 
File: 10767321.txt  Weight: 9.331974120790331E-4 
File: 10767337.txt  Weight: 9.037868684784589E-5 
File: 10788456.txt  Weight: 0.002085190541294438 
File: 10789322.txt  Weight: 0.002318467341810178 
File: 10797110.txt  Weight: 2.2418874646791274E-4 
File: 10816583.txt  Weight: 0.001455745878907399 
File: 10818098.txt  Weight: 7.847653632486395E-4 
File: 10830272.txt  Weight: 0.012862058558780332 
File: 10852911.txt  Weight: 5.432521461614141E-4 
File: 10869344.txt  Weight: 3.190949267548509E-4 
File: 10875252.txt  Weight: 0.07812842886178864 
File: 10878123.txt  Weight: 0.0034288994799717147 
File: 10901330.txt  Weight: 0.005360807513280103 
File: 10908342.txt  Weight: 1.2322756300983914E-4 
File: 10912224.txt  Weight: 0.008909411249119481 
File: 10915768.txt  Weight: 3.282814965301482E-4 
File: 10915790.txt  Weight: 5.384454683414492E-4 
File: 10934218.txt  Weight: 0.008974168777559086 
File: 10945091.txt  Weight: 6.317736900300808E-4 
File: 10958757.txt  Weight: 0.042423605771459906 
File: 10969067.txt  Weight: 0.0017606920884361528 
File: 10973971.txt  Weight: 0.08686684895848612 
File: 10974954.txt  Weight: 0.002870149646556582 
File: 10974964.txt  Weight: 0.0043504415122862464 
File: 10976915.txt  Weight: 0.026126268413561055 
File: 10990489.txt  Weight: 0.0037094772668130197 
File: 11026956.txt  Weight: 0.006569509979361691 
File: 11040887.txt  Weight: 0.0032685840536231907 
File: 11042190.txt  Weight: 0.019125776390610718 
File: 11042199.txt  Weight: 5.722922531707249E-4 
File: 11060283.txt  Weight: 0.0010861307694243639 
File: 11101631.txt  Weight: 0.00374948913298808 
File: 11104755.txt  Weight: 0.0018329656452100729 
File: 11113031.txt  Weight: 4.982608979756521E-4 
File: 11115852.txt  Weight: 6.887722809554347E-4 
File: 11116137.txt  Weight: 4.664006187316535E-4 
File: 11116776.txt  Weight: 0.004748120122002273 
File: 11136203.txt  Weight: 0.015114927452568592 
File: 11145591.txt  Weight: 0.0520839271049589 
File: 11157409.txt  Weight: 0.008531168403564481 
File: 11159924.txt  Weight: 4.937567517563668E-5 
File: 11160505.txt  Weight: 0.001203792241915198 
File: 11181571.txt  Weight: 7.469008328936731E-4 
File: 11238117.txt  Weight: 5.245944544792164E-4 
File: 11278321.txt  Weight: 6.336816174335471E-4 
File: 11278378.txt  Weight: 4.68763396489899E-4 
File: 11278416.txt  Weight: 0.0022140563806553586 
File: 11278424.txt  Weight: 0.0011878538978743179 
File: 11278679.txt  Weight: 0.0011428220452607335 
File: 11278841.txt  Weight: 6.177222080365824E-4 
File: 11279122.txt  Weight: 7.893478749705821E-4 
File: 11285366.txt  Weight: 5.076780211658409E-4 
File: 11289039.txt  Weight: 0.006518032833068253 
File: 11315226.txt  Weight: 0.004146717001653997 
File: 11315227.txt  Weight: 1.851945864489792E-4 
File: 11315233.txt  Weight: 0.0012395986303651509 
File: 11334423.txt  Weight: 0.0016679620101226701 
File: 11337485.txt  Weight: 0.004524838205339446 
File: 11356722.txt  Weight: 0.0487361869298974 
File: 11416089.txt  Weight: 0.004091364872315866 
File: 11416090.txt  Weight: 0.005294044846068289 
File: 11425794.txt  Weight: 0.0018651670242855322 
File: 11431422.txt  Weight: 3.2468196660114884E-4 
File: 11435273.txt  Weight: 0.01189695573648725 
File: 11448935.txt  Weight: 4.961181281365107E-4 
File: 11473058.txt  Weight: 0.0010472662971769615 
File: 11495948.txt  Weight: 8.871911693560186E-4 
File: 11502763.txt  Weight: 5.668233250421139E-4 
File: 11522666.txt  Weight: 0.02476683848788892 
File: 11532993.txt  Weight: 8.8126685580059E-4 
File: 11581097.txt  Weight: 0.010597287553485702 
File: 11581098.txt  Weight: 0.005774765440471731 
File: 11581107.txt  Weight: 0.017631461049157447 
File: 11581121.txt  Weight: 0.007572442061579851 
File: 11590129.txt  Weight: 4.8697766635529146E-4 
File: 11679424.txt  Weight: 0.006318028534455235 
File: 11698390.txt  Weight: 5.078667425114589E-4 
File: 11706054.txt  Weight: 4.120762805785461E-4 
File: 11723056.txt  Weight: 0.03495854809207856 
File: 11723068.txt  Weight: 0.012137909328182284 
File: 11734529.txt  Weight: 1.288369098219865E-4 
File: 11748299.txt  Weight: 0.004930031266056979 
File: 11756183.txt  Weight: 2.2007635365780794E-4 
File: 11756336.txt  Weight: 0.0032726905352867012 
File: 11779865.txt  Weight: 0.024040388093930897 
File: 11796489.txt  Weight: 0.025624367012882576 
File: 11807014.txt  Weight: 0.0022906443590832728 
File: 11809743.txt  Weight: 0.0021169707943077794 
File: 11809755.txt  Weight: 0.0428227005574948 
File: 11815632.txt  Weight: 0.00139965264439085 
File: 11821392.txt  Weight: 9.579290318546684E-4 
File: 11823314.txt  Weight: 0.003710459017506443 
File: 11823322.txt  Weight: 0.01299194874933502 
File: 11823323.txt  Weight: 0.007969995988341753 
File: 11823324.txt  Weight: 0.0025097579931291545 
File: 11823325.txt  Weight: 0.006314346802651547 
File: 11823326.txt  Weight: 0.0036629856763257134 
File: 11823327.txt  Weight: 0.008521490998361707 
File: 11823329.txt  Weight: 0.0019684687223851405 
File: 11823454.txt  Weight: 4.157265011486378E-4 
File: 11828004.txt  Weight: 4.3206317071097444E-4 
File: 11872521.txt  Weight: 0.003159540505231042 
File: 11872691.txt  Weight: 0.004333671735785087 
File: 11872693.txt  Weight: 0.006375261401312862 
File: 11880376.txt  Weight: 4.4697327568979936E-4 
File: 11897799.txt  Weight: 0.002161145409975963 
